string,commit_id,hash,committer_id,author_id,parent_ids,parent_count,author_timestamp,committer_timestamp,changed_paths,changed_path_count,message,message_length
"https://github.com/apache/airflow.git",14076,5c08d1c70e0d5588578ddaf8dbed850c4b1aa5b8,514,514,"14068",1,1379705331,1380738951,"1927 1936",2,"Rename and remove some token deletion config flags.
",52
"https://github.com/apache/airflow.git",16682,bc7b92a6438cf374922d551d38a8567158976359,514,514,"16679",1,1406086925,1406163256,"3868 4933 4081",3,"Experiment: remove `unknownItem` flag

Simplifies loading unknown packages/releases.
",85
"https://github.com/apache/airflow.git",22098,af288acfbb867d94c03ca47fa33c06e0288b3313,426,426,"22099",1,1435719369,1435719369,"3916 6947 6945",3,"Move tool-specific Babel feature flags into a single module.
",61
"https://github.com/apache/airflow.git",26348,d278a3ff8b2863afb9ab7807e42d31f33c84eb78,117,917,"26349",1,1558023156,1558023156,"8016 7483 7057 7144 7060 7059 7356 9234 8019 9345 7065 7056 7086 8508 8238 7058 8558 9373 8018 8386 7840 8173 7993",23,"`act()` - s / flushPassiveEffects / Scheduler.unstable_flushWithoutYielding (#15591)

* s/flushPassiveEffects/unstable_flushWithoutYielding

a first crack at flushing the scheduler manually from inside act(). uses unstable_flushWithoutYielding(). The tests that changed, mostly replaced toFlushAndYield(...) with toHaveYielded(). For some tests that tested the state of the tree before flushing effects (but still after updates), I replaced act() with bacthedUpdates().

* ugh lint

* pass build, flushPassiveEffects returns nothing now

* pass test-fire

* flush all work (not just effects), add a compatibility mode

of note, unstable_flushWithoutYielding now returns a boolean much like flushPassiveEffects

* umd build for scheduler/unstable_mock, pass the fixture with it

* add a comment to Shcduler.umd.js for why we're exporting unstable_flushWithoutYielding

* run testsutilsact tests in both sync/concurrent modes

* augh lint

* use a feature flag for the missing mock scheduler warning

I also tried writing a test for it, but couldn't get the scheduler to unmock. included the failing test.

* Update ReactTestUtilsAct-test.js

- pass the mock scheduler warning test,
- rewrite some tests to use Scheduler.yieldValue
- structure concurrent/legacy suites neatly

* pass failing tests in batchedmode-test

* fix pretty/lint/import errors

* pass test-build

* nit: pull .create(null) out of the act() call
",1456
"https://github.com/apache/airflow.git",26666,745baf2e061bdb7a07b511fa6fd8c1c5e8106313,117,800,"26668",1,1554663754,1554663754,"8333 9397 8386 7060 7058 7583 7059 9396 7088 7065 8321 7056 7057",13,"Provide new jsx transform target for reactjs/rfcs#107 (#15141)

* adding jsx function

* add more feature flag defaults

* flip ReactElement order back
",157
"https://github.com/apache/airflow.git",26711,3a44ccefeda8cfa19482c8a3a4480a83cae6c2ae,117,747,"26712",1,1554312978,1554312978,"7165 7144",2,"Fix feature flags react-dom/unstable-new-scheduler (#15309)

I forgot to account for the CommonJS builds. (I had this change in
my local checkout but accidentally didn't commit it.)",182
"https://github.com/apache/airflow.git",26721,4d5cb64aa2beacf982cf0e01628ddda6bd92014c,117,747,"26723",1,1554245347,1554245347,"7913 8008 7496 7200 9395 7537 9348 7684 7144 8263 9396 7329 7201 7236 7533 7985 7184 7980 7190 8265 8194 7841 7165 7569 9398 8019 7733 8575 9397 8703 7969 9371 8197 9019 9391 7456 9394",36,"Rewrite ReactFiberScheduler for better integration with Scheduler package (#15151)

* Rewrite ReactFiberScheduler

Adds a new implementation of ReactFiberScheduler behind a feature flag.
We will maintain both implementations in parallel until the new one
is proven stable enough to replace the old one.

The main difference between the implementations is that the new one is
integrated with the Scheduler package's priority levels.

* Conditionally add fields to FiberRoot

Some fields only used by the old scheduler, and some by the new.

* Add separate build that enables new scheduler

* Re-enable skipped test

If synchronous updates are scheduled by a passive effect, that work
should be flushed synchronously, even if flushPassiveEffects is
called inside batchedUpdates.

* Passive effects have same priority as render

* Revert ability to cancel the current callback

React doesn't need this anyway because it never schedules callbacks if
it's already rendering.

* Revert change to FiberDebugPerf

Turns out this isn't neccessary.

* Fix ReactFiberScheduler dead code elimination

Should initialize to nothing, then assign the exports conditionally,
instead of initializing to the old exports and then reassigning to the
new ones.

* Don't yield before commit during sync error retry

* Call Scheduler.flushAll unconditionally in tests

Instead of wrapping in enableNewScheduler flag.
",1436
"https://github.com/apache/airflow.git",26825,b1a56abd6aec4379c2fc9400b413f6f42d0c9b1f,747,747,"26828",1,1553124513,1553124513,"7065 7236 7058 7060 7980 7974 9392 7056 9348 7959 7982 7059 9395 25 7981 7057 9390 8386 7969",19,"Fork ReactFiberScheduler with feature flag

Adds a feature flag `enableNewScheduler` that toggles between two
implementations of ReactFiberScheduler. This will let us land changes in
master while preserving the ability to quickly rollback.

Ideally this will be a short-lived fork. Once we've tested the new
scheduler for a week or so without issues, we will get rid of it. Until
then, we'll need to maintain two parallel implementations and run tests
against both of them. We rarely land changes to ReactFiberScheduler, so
I don't expect this will be a huge burden.

This commit does not implement anything new. The flag is still off and
tests run against the existing implementation.

Use `yarn test-new-scheduler` to run tests against the new one.
",751
"https://github.com/apache/airflow.git",26875,4162f6026c2f560f286e7853f4929cd5e0135bdd,117,1039,"26878",1,1552690462,1552690462,"7065 8386 9348 7058 7056 7999 7060 7059 7057",9,"Add feature flag to disable yielding (#15119)

",47
"https://github.com/apache/airflow.git",27046,870214f37ad63333e750f31ef0cc0bde5793aee5,117,864,"27056",1,1551135639,1551135639,"7065 7060 8386 8032 7080 8534 7058 7059 8225 8034 7057 7056 8536",13,"Deprecate ref.setNativeProps in favor of ReactNative.setNativeProps (#14912)

* Deprecate ref.setNativeProps in favor of ReactNative.setNativeProps

* Using a feature flag for the setNativeProps warning

* Removing extra line breaks

* Set the FB native feature flag to true

* Prettier
",296
