string,path_id,path,language
"https://github.com/nodejs/node.git",19041,deps/npm/node_modules/npm-package-arg/README.md,
"https://github.com/nodejs/node.git",20109,deps/npm/node_modules/fs-vacuum/README.md,
"https://github.com/nodejs/node.git",18651,deps/npm/node_modules/dezalgo/node_modules/asap/README.md,
"https://github.com/nodejs/node.git",20322,deps/npm/node_modules/semver/README.md,
"https://github.com/nodejs/node.git",18538,deps/npm/node_modules/dezalgo/README.md,
"https://github.com/nodejs/node.git",19012,deps/npm/node_modules/read-installed/node_modules/readdir-scoped-modules/README.md,
"https://github.com/nodejs/node.git",58,README.md,
"https://github.com/nodejs/node.git",18265,deps/npm/node_modules/read-installed/node_modules/debuglog/README.md,
"https://github.com/nodejs/node.git",20488,deps/uv/README.md,
"https://github.com/nodejs/node.git",18421,deps/npm/node_modules/normalize-package-data/README.md,
"https://github.com/nodejs/node.git",19175,deps/npm/README.md,
"https://github.com/nodejs/node.git",19079,tools/icu/README.md,
"https://github.com/nodejs/node.git",19755,deps/npm/node_modules/read-package-json/node_modules/normalize-package-data/README.md,
"https://github.com/nodejs/node.git",18360,deps/npm/node_modules/async-some/README.md,
"https://github.com/nodejs/node.git",23076,deps/npm/node_modules/columnify/node_modules/wcwidth/node_modules/defaults/README.md,
"https://github.com/nodejs/node.git",21860,deps/npm/node_modules/node-gyp/README.md,
"https://github.com/nodejs/node.git",22001,deps/npm/node_modules/cmd-shim/README.md,
"https://github.com/nodejs/node.git",23242,deps/npm/node_modules/lockfile/README.md,
"https://github.com/nodejs/node.git",21272,deps/npm/node_modules/request/node_modules/bl/node_modules/readable-stream/node_modules/string_decoder/README.md,
"https://github.com/nodejs/node.git",21765,deps/npm/node_modules/columnify/node_modules/strip-ansi/node_modules/ansi-regex/readme.md,
"https://github.com/nodejs/node.git",23765,deps/npm/node_modules/request/node_modules/form-data/node_modules/mime/README.md,
"https://github.com/nodejs/node.git",22706,deps/npm/node_modules/request/node_modules/bl/README.md,
"https://github.com/nodejs/node.git",21540,deps/npm/node_modules/request/node_modules/tough-cookie/README.md,
"https://github.com/nodejs/node.git",23842,deps/npm/node_modules/columnify/node_modules/wcwidth.js/node_modules/underscore/README.md,
"https://github.com/nodejs/node.git",21609,deps/npm/node_modules/request/node_modules/mime-types/README.md,
"https://github.com/nodejs/node.git",23417,deps/npm/node_modules/columnify/node_modules/wcwidth/node_modules/defaults/node_modules/clone/README.md,
"https://github.com/nodejs/node.git",23645,deps/npm/node_modules/request/README.md,
"https://github.com/nodejs/node.git",23960,deps/npm/node_modules/request/node_modules/caseless/README.md,
"https://github.com/nodejs/node.git",23228,deps/npm/node_modules/request/node_modules/form-data/node_modules/async/README.md,
"https://github.com/nodejs/node.git",21767,deps/npm/node_modules/request/node_modules/mime/README.md,
"https://github.com/nodejs/node.git",21455,deps/npm/node_modules/request/node_modules/tough-cookie/node_modules/punycode/vendor/docdown/README.md,
"https://github.com/nodejs/node.git",24018,deps/npm/node_modules/request/node_modules/tough-cookie/node_modules/punycode/vendor/docdown/doc/README.md,
"https://github.com/nodejs/node.git",24470,deps/npm/node_modules/request/node_modules/hawk/README.md,
"https://github.com/nodejs/node.git",21192,deps/npm/node_modules/request/node_modules/bl/node_modules/readable-stream/README.md,
